"Access denied.","Zugang verweigert."
"Account Created in:","Kundenkonto angelegt in:"
"Account Created on (%s):","Kundenkonto angelegt am (%s):"
"Account Created on:","Kundenkonto angelegt am:"
"Can not find webservice adapter.","Webservice-Adapter ist nicht auffindbar."
"Client Session Timeout (sec.)","Zeitüberschreitung bei der Kundensitzung (Sek.)"
"Default Response Charset","Standard-Schriftsatz für Antwort"
"Email","eMail"
"Enable WSDL Cache","WSDL-Zwischenspeicher aktivieren"
"General Settings","Allgemeine Einstellungen"
"Invalid webservice adapter specified.","Ungültiger Webservice-Adapter angegeben."
"Invalid webservice handler specified.","Ungültiger Webservice-Handler angegeben."
"Magento Core API","Magento Core-API"
"Magento Core API Section","Magento Core-API-Sektion"
"Roles","Gruppenberechtigungen"
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Gruppenberechtigungen"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Benutzer"
"Unable to login.","Login fehlgeschlagen."
"User Name","Benutzername"
"Users","Benutzer"
"WS-I Compliance","WS-I Konformität"
"Web Services","Webdienste"
"Your account has been deactivated.","Ihr Kundenkonto wurde deaktiviert."
