"* Required Fields","* Bitte ergänzen Sie diese Informationen"
"Comment","Kommentar"
"Contact Form","Kontaktformular"
"Contact Information","Kontaktinformation"
"Contact Us","Kontakt"
"Contact Us Form","Kontaktformular"
"Contacts","Kontakte"
"Contacts Section","Kontaktbuch"
"Email","eMail"
"Email Options","eMail Optionen"
"Email Sender","eMail Absender"
"Email Template","eMail Vorlage"
"Enable Contact Us","Kontaktfunktion aktivieren"
"Name","Name"
"Send Emails To","eMails senden an"
"Submit","Senden"
"Telephone","Telefon"
"Unable to submit your request. Please, try again later","Ihre Anfrage konnte nicht verarbeitet werden. Bitte versuchen Sie es später erneut."
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Ihre Anfrage wurde übermittelt und wir werden so bald wie möglich darauf antworten. Vielen Dank, dass Sie sich mit uns in Kontakt setzen."
