"Add","Hinzufügen"
"Add New Row","Neue Zeile hinzufügen"
"Add links and samples to downloadable product","Links und Beispiele zum herunterladbaren Artikel hinzufügen"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Alphanumerische Zeichen, Bindestriche und Unterstriche werden für Dateinamen empfohlen. Unangemessene Zeichen werden durch '_' ersetzt."
"An error occurred while getting the requested content.","Beim Laden des angeforderten Inhalts ist ein Fehler aufgetreten."
"An error occurred while getting the requested content. Please contact the store owner.","Beim Laden des angeforderten Inhalts ist ein Fehler aufgetreten. Bitte kontaktieren Sie den Händler."
"An error occurred while saving the file(s).","Beim Speichern der Datei(en) ist ein Fehler aufgetreten."
"Availability:","Verfügbarkeit:"
"Back","Zurück"
"Canceled","Storniert"
"Cannot connect to remote host, error: %s.","Verbindung zu Remote Host kann nicht aufgebaut werden, Fehler: %s."
"Catalog Product View (Downloadable)","Katalog Produktansicht (Herunterladbar)"
"Category API","Kategorie API"
"Customer My Account Downloadable Items","Kunde Mein Konto Herunterladbare Artikel"
"Date","Datum"
"Default Link Title","Linktitel (voreingestellt)"
"Default Maximum Number of Downloads","Maximalanzahl an Downloads (voreingestellt)"
"Default Sample Title","Beispieltitel (voreingestellt)"
"Delete","Löschen"
"Disable Guest Checkout if Cart Contains Downloadable Items","Gastcheckout deaktivieren, wenn Warenkorb herunterladbare Artikel enthält"
"Downloadable Information","Herunterladbare Informationen"
"Downloadable Product","Herunterladbare Artikel"
"Downloadable Product Options","Optionen für herunterladbare Artikel"
"Downloadable Product Section","Herunterladbarer Artikelbereich"
"Downloadable product Section","Herunterladbarer Artikelbereich"
"Edit","Bearbeiten"
"Edit item parameters","Artikelangaben ändern"
"Excl. Tax","Steuer weglassen"
"File","Datei"
"From:","Von:"
"Gift Message","Geschenknachricht"
"Go to <a href=""%s"">My Downloadable Products</a>","Gehen Sie zu <a href=""%s"">Meine Download-Artikel</a>"
"Guest checkout will only work with shareable.","Gastcheckout funktioniert nur, wenn mitbenutzbar."
"In stock","Auf Lager"
"Incl. Tax","Steuer inkludieren"
"Invalid download URL host.","Ungültiger Download-URL-Server"
"Invalid download URL scheme.","Ungültiges Download-URL-Schema"
"Invalid download link type.","Ungültiger Downloadlink-Typ"
"Invoiced","In Rechnung gestellt"
"Links can be purchased separately","Links können einzeln erworben werden."
"List","Liste"
"Max. Downloads","Max. Downloads"
"Message:","Nachricht:"
"Move","Verschieben"
"Move to Wishlist","Auf den Wunschzettel verschieben"
"Move to wishlist","Auf den Wunschzettel verschieben"
"My Downloadable Products","Meine herunterladbaren Artikel"
"Open Links in New Window","Links in neuem Fenster öffnen"
"Order #","Bestellung Nr. "
"Order Item Status to Enable Downloads","Bestellstatus, um das Herunterladen zu ermöglichen"
"Order id cannot be null","Order-ID kann nicht Null sein"
"Order item id cannot be null","Order-Artikel-ID kann nicht Null sein"
"Ordered","Bestellt"
"Out of stock","Nicht lieferbar"
"Pending","Ausstehend"
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Bitte melden Sie sich an, um Ihren Artikel herunterzuladen oder zu kaufen <a href=""%s"">%s</a>."
"Please log in to download your product.","Bitte melden Sie sich an, um Ihren Artikel herunterzuladen."
"Please set resource file and link type.","Bitte setzten Sie Ressourcendatei und Linktyp."
"Please specify product link(s).","Bitte Artikellink(s) festlegen."
"Price","Preis"
"Product downloadable links","Links für das Herunterladen der Artikel"
"Qty","Anzahl"
"Refunded","Rückerstattet"
"Remaining Downloads","Verbleibende Downloads"
"Remove","Löschen"
"Remove Item","Artikel entfernen"
"Remove links and samples from downloadable product","Links und Beispiele vom herunterladbaren Artikel entfernen"
"Requested link does not exist.","Der gewünschte Link existiert nicht."
"Retrieve links and samples list from downloadable product","Links und Beispielliste vom herunterladbaren Artikel abrufen"
"SKU","Artikelnummer (SKU)"
"Sample","Beispiel"
"See price before order confirmation.","Preis vor Bestellbestätigung ansehen."
"Shareable","Gemeinsam nutzbar"
"Shipped","Versandt"
"Sorry, there was an error getting requested content. Please contact the store owner.","Leider trat beim Holen des gewünschten Inhalts ein Fehler auf. Bitte kontaktieren Sie den Händler."
"Sort Order","Sortierfolge"
"Start Download","Download starten"
"Status","Status"
"Subtotal","Zwischensumme"
"The file does not exist.","Die Datei existiert nicht."
"The link has expired.","Der Link ist abgelaufen."
"The link is not available.","Der Link ist nicht verfügbar."
"There are files that were selected but not uploaded yet. Please upload or remove them first","Einige Dateien wurden ausgewählt, aber noch nicht hochgeladen. Bitte laden Sie diese erst hoch oder entfernen Sie sie."
"Title","Titel"
"To:","An:"
"U","U"
"Unlimited","Unbegrenzt"
"Update","Aktualisieren"
"Use Content-Disposition","Verwenden Sie Content-Disposition"
"Use Default Value","Standardwert verwenden"
"View Order","Bestellung ansehen"
"What's this?","Was ist das?"
"You have not purchased any downloadable products yet.","Sie haben noch keine herunterladbaren Artikel gekauft."
"attachment","Anhang"
"download","Download"
"inline","Inline"
"sample","Probe"
