"Active","Aktiv"
"Add Attribute Mapping","Merkmal-Zuordnung hinzufügen"
"Add New Attribute","Neues Merkmal hinzufügen"
"Add to Google Base","Zu Google Base hinzufügen"
"Are you sure?","Sind Sie sicher?"
"Attribute","Merkmal"
"Attribute Set","Merkmalgruppe"
"Attribute Set and Item Type","Merkmalgruppe und Artikeltyp"
"Attributes","Merkmale"
"Attributes Mapping","Merkmal-Zuordnung"
"Attributes Set","Merkmalgruppe"
"AuthSub","AuthSub"
"Available Products","Verfügbare Artikel"
"Base Currency should be set to %s for %s in system configuration. Otherwise item prices won't be correct in Google Base.","Base-Währung sollte in der Systemkonfiguration auf %s für %s eingestellt sein. Ansonsten sind die Artikelpreise auf Google Base nicht korrekt."
"Cannot update Google Base Item for Store '%s'","Google-Grundgröße kann nicht für Laden '%s' aktualisiert werden."
"Captcha confirmation error: %s","Fehler bei Captcha-Bestätigung: %s"
"Captcha has been confirmed.","Captcha wurde bestätigt."
"Catalog","Katalog"
"Clicks","Klicks"
"ClientLogin","Kunden-Login"
"Confirm","Bestätigen"
"Current Mapping will be reloaded. Continue?","Derzeitige Zuordnung wird neu geladen. Fortfahren?"
"Custom attribute, no mapping","Benutzerdefiniertes Merkmal, keine Zuordnung"
"Delete","Löschen"
"Delete Mapping","Zuordnung löschen"
"Edit Item Type","Artikeltyp ändern"
"Edit Item Type ""%s""","Artikelart ""%s"" bearbeiten."
"Error: %s","Fehler: %s"
"Expires","Läuft ab"
"Google","Google"
"Google Base","Google Base"
"Google Base Attribute","Google Base Merkmal"
"Google Base ID","Google Base ID"
"Google Base Item Type","Google Base Artikeltyp"
"Google Base Item type","Google Base Merkmalart"
"Google Base Items","Google Base Artikel"
"Google base","Google Base"
"Hide","Verstecken"
"Hosted","Gehostet"
"Hosted or Google","Gehostet oder Google"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Ungültiges Artikelmodell für Google-Base-Artikel"
"Item Type was deleted","Artikeltyp wurde gelöscht"
"Item Types","Artikeltypen"
"Item model is not specified to delete Google Base entry.","Artikelmodell ist nicht spezifiziert, um Google-Base-Eintrag zu löschen."
"Items","Artikel"
"Manage Attribute Mapping","Merkmal-Zuordnung verwalten"
"Manage Attributes","Merkmale verwalten"
"Manage Items","Artikel verwalten"
"New Item Type","Neuer Artikeltyp"
"New ItemType","Neuer Artikeltyp"
"No","Nein"
"No items were deleted from Google Base","Keine Artikel wurden aus Google Base gelöscht"
"No items were published","Keine Artikel wurden veröffentlicht"
"No items were saved as inactive items","Keine Artikel wurden als inaktive Artikel gespeichert"
"No products were added to Google Base","Keine Artikel wurden zu Google Base hinzugefügt"
"Object model is not specified to save Google Base entry.","Objektmodell ist nicht spezifiziert, um Google-Base-Eintrag zu speichern."
"Please, select Attribute Set and Google Item Type to load attributes","Bitte wählen sie Merkmalgruppe und Google-Artikeltyp, um Merkmale zu laden."
"Product Name","Artikelname"
"Publish","Veröffentlichen"
"Published","Veröffentlicht"
"Remove","Entfernen"
"Save Mapping","Zuordnung speichern"
"Session expired during export. Please revise exported products and repeat the process if necessary.","Session ist während Export abgelaufen. Bitte überarbeiten Sie exportierte Artikel und versuchen Sie es, falls nötig, noch einmal."
"Synchronize","Synchronisieren"
"Target Country","Zielland"
"The item type has been saved.","Der Artikeltyp wurde gespeichert."
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Diese Aktion aktualisiert Artikelstatistiken und entfernt Artikel, die nicht in Google Base verfügbar sind. Fortfahren?"
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","Gesamtzahl von %d Artikel wurden gelöscht; Gesamtzahl von %d Artikel wurden aktualisiert."
"Total of %d items(s) have been published.","Gesamtzahl von %d Artikel wurden veröffentlicht."
"Total of %d items(s) have been removed from Google Base.","Gesamtzahl von %d Artikel wurden von Google Base entfernt."
"Total of %d items(s) have been saved as inactive items.","Gesamtzahl von %d Artikel wurden als inaktive Artikel gespeichert."
"Total of %d product(s) have been added to Google Base.","Gesamtzahl von %d Artikel(n) wurden zu Google Base hinzugefügt."
"Unable to connect to Google Base. Please, check Account settings in configuration.","Verbindung zu Google Base kann nicht hergestellt werden. Bitte überprüfen Sie die Kontoeinstellungen in der Konfiguration."
"Unable to select a Store View.","Ladenansicht kann nicht gewählt werden."
"View Available Products","Verfügbare Artikel anzeigen"
"View Item in Google Base","Artikel in Google Base anzeigen"
"Yes","Ja"
