"Enable Log","Verlauf anschalten"
"Enable Log Cleaning","Aufräumen des Verlaufs anschalten"
"Error Email Recipient","eMail-Empfänger bei auftretenden Fehlern"
"Error Email Sender","eMail-Absender bei auftretenden Fehlern"
"Error Email Template","eMail-Vorlage bei auftretenden Fehlern"
"Frequency","Häufigkeit"
"Log","Verlauf"
"Log Cleaning","Aufräumen des Verlaufs"
"Log cleanup Warnings","Warnungen während Aufräumen des Verlaufs"
"Save Log, Days","Speichere Verlauf (Tage)"
"Start Time","Startzeit"
