"%d Review(s)","%d Beurteilung(en)"
"%s Review(s)","%s Beurteilung(en)"
"(Posted on %s)","(Am %s gepostet)"
"1 star","1 Stern"
"2 star","2 Sterne"
"2 stars","2 Sterne"
"3 star","3 Sterne"
"3 stars","3 Sterne"
"4 star","4 Sterne"
"4 stars","4 Sterne"
"5 star","5 Sterne"
"5 stars","5 Sterne"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>"
"Add New Review","Neue Kundenbeurteilung"
"Add Your Review","Kundenbeurteilung hinzufügen"
"Administrator","Administrator"
"All Reviews","Alle Kundenbeurteilungen"
"All Reviews of Customer `%s`","Alle Beurteilungen des Kunden '%s'"
"All Reviews of Product `%s`","Alle Kundenbeurteilungen über Artikel '%s'"
"Allow Guests to Write Reviews","Erlaube Gästen Artikelbeurteilungen abzugeben"
"Approved","Bestätigt"
"Are you sure you want to do this?","Sind Sie sicher, dass Sie das tun wollen?"
"Are you sure?","Sind Sie sicher?"
"Average Customer Rating","Durchschnittliche Kundenbewertung"
"Average Customer Rating:","Durchschnittliche Kundenbewertung:"
"Back","Zurück"
"Back to Main Product Info","Zurück zur Hauptartikelinfo"
"Back to My Reviews","Zurück zu Meinen Kundenbeurteilungen"
"Back to Product Reviews","Zurück zu Kundenbeurteilungen"
"Be the first to review this product","Beurteilen Sie diesen Artikel als Erster"
"Catalog Product Review View","Katalog Artikelansicht von Kundenbeurteilungen"
"Catalog Product Reviews List","Katalog Artikelauflistung von Kundenbeurteilungen"
"Created On","Erstellt am"
"Customer","Kunde"
"Customer My Account Product Reviews","Kunde Mein Konto Artikelbeurteilungen"
"Customer My Account Review Details","Kunde Mein Konto Beurteilungsdetails"
"Customer Reviews","Beurteilungen nach Kunde"
"Customers Reviews","Beurteilungen nach Kunden"
"Delete","Löschen"
"Delete Review","Beurteilung löschen"
"Detailed Rating","Genauere Bewertung"
"Edit Review '%s'","Beurteilung '%s' bearbeiten"
"Guest","Gast"
"How do you rate this product?","Wie bewerten Sie diesen Artikel?"
"ID","ID"
"Let us know your thoughts","Teilen Sie uns Ihre Meinung mit"
"Manage Ratings","Bewertungen verwalten"
"My Product Reviews","Meine Kundenbeurteilungen"
"My Recent Reviews","Meine letzten Kundenbeurteilungen"
"Name","Name"
"Name in Store","Name im Laden"
"New Review","Neue Kundenbewertung"
"Nickname","Nickname"
"Nickname can\'t be empty","Nickname darf nicht leer sein"
"Not Approved","Nicht genehmigt"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Nur registrierte Benutzer können Bewertungen schreiben. Bitte <a href=""%s"">loggen Sie sich ein</a> oder <a href=""%s"">registrieren Sie sich</a>"
"Pending","ausstehend / anhängig"
"Pending Reviews","Ausstehende Reviews"
"Pending Reviews of Customer `%s`","Ausstehende Kundenbewertung des Kunden '%s'"
"Please select a product","Bitte wählen Sie einen Artikel"
"Please select one of each of the ratings above","Bitte wählen Sie jeweils eine der obenstehenden Bewertungen"
"Posted By","Geposted von"
"Price","Preis"
"Product","Artikel"
"Product Name","Artikelname"
"Product Rating","Artikelbewertung"
"Product Rating:","Artikelbewertung:"
"Product Review (submitted on %s):","Artikelbewertung (von %s hinzugefügt):"
"Product Reviews","Artikelbewertungen"
"Product SKU","Bestandseinheit des Artikels"
"Products Reviews","Artikelbewertungen"
"Qty","Anzahl"
"Rating:","Bewertung"
"Review","Review"
"Review (submitted on %s):","Artikelbewertung (von %s hinzugefügt):"
"Review Details","Artikelbewertung-Details"
"Review Form Fields Before","Felder Bewertungsformular vorher"
"Review by %s","Bewertung von %s"
"Review by <span>%s</span>","Review von <span>%s</span>"
"Review can\'t be empty","Review darf nicht leer sein"
"Review summary can\'t be empty","Zusammenfassung der Artikelbewertung darf nicht leer sein"
"Reviews","Kundenbewertungen"
"Reviews and Ratings","Reviews und Bewertungen"
"SKU","SKU"
"Save Review","Review speichern"
"Status","Status"
"Submit Review","Review abschicken"
"Summary Rating","Bewertungszusammenfassung"
"Summary of Review","Reviewzusammenfassung"
"Summary of Your Review","Zusammenfassung Ihres Reviews"
"Title","Titel"
"Type","Typ"
"Unable to post the review.","Review kann nicht geposted werden."
"Update Status","Status aktualisieren"
"View All Reviews","Alle Artikelbewertungen ansehen"
"View Details","Details ansehen"
"Visible In","Sichtbar in"
"Websites","Webseiten"
"What's your nickname?","Was ist Ihr Spitzname?"
"Write Your Own Review","Schreiben Sie Ihr eigenes Review"
"You have submitted no reviews.","Sie haben keine Reviews geschrieben."
"You're reviewing:","Sie schreiben ein Review für:"
"Your Rating:","Ihre Bewertung:"
"Your Review (submitted on %s):","Ihr Review (von % hinzugefügt)"
"Your review has been accepted for moderation.","Ihr Review wurde für Moderation akzeptiert."
