"# of Uses","Anzahl der Verwendungen"
"%s tag(s) have been accepted for moderation.","%s Schlagwörter wurde(n) für die Moderation akzeptiert."
"<strong>Tag Name:</strong> %s","<strong>Tag-Bezeichnung:</strong> %s"
"Action","Aktion"
"Add","Hinzufügen"
"Add New Tag","Neues Schlagwort hinzufügen"
"Add Tags","Schlagwörter hinzufügen"
"Add Your Tags:","Fügen Sie Ihre Schlagwörter hinzu:"
"Add tag(s) to product","Schlagwörter zum Artikel hinzufügen"
"Add to Cart","Zum Warenkorb hinzufügen"
"Add to Wishlist","Zum Wunschzettel hinzufügen"
"All Tags","Alle Schlagwörter"
"Approved","Bestätigt"
"Are you sure you want to delete this tag?","Sind Sie sicher, dieses Schlagwort löschen zu wollen?"
"Are you sure you want to do this?","Sind Sie sicher, dass sie das tun wollen?"
"Are you sure?","Sind Sie sicher?"
"Back","Zurück"
"Back to Tags List","Zurück zur Schlagwortliste"
"Base Popularity","Popularität aufbauen"
"Block Information","Blockinformation"
"CSV","CSV"
"Catalog Product View","Katalog-Artikelansicht"
"Change status","Status ändern"
"Click on a tag to view your corresponding products.","Klicken Sie auf ein Schlagwort, um die zugehörigen Artikel zu sehen."
"Country","Land"
"Customer My Account My Tags List","Kunde Mein Konto Meine Schlagwortliste"
"Customer My Account Tag View","Kunde Mein Konto Schlagwort-Ansicht"
"Customer Since","Kunde Seit"
"Customers","Kunden"
"Customers Submitted this Tag","Kunden haben dieses Schlagwort eingereicht"
"Customers Tagged '%s'","Kunden haben '%s' verschlagwortet"
"Delete","Löschen"
"Delete Tag","Schlagwort löschen"
"Disabled","Deaktiviert"
"Edit Tag '%s'","Schlagwort '%s' bearbeiten"
"Email","eMail"
"First Name","Vorname"
"General Information","Allgemeine Information"
"Grid","Raster"
"ID","ID"
"Info","Informationen"
"Last Name","Nachname"
"List","Liste"
"Manage Tags","Schlagwörter verwalten"
"Middle Name","Mittelname"
"My Recent Tags","Meine neuesten Schlagwörter"
"My Tags","Meine Schlagwörter"
"Name","Name"
"New Tag","Neues Schlagwort"
"No matches found.","Keine Übereinstimmungen gefunden."
"Other people marked this product with these tags:","Andere Leute haben dieses Artikel mit diesen Schlagwörtern gekennzeichnet:"
"Pending","Ausstehend"
"Pending Tags","Unbestätigte Schlagwörter"
"Popular","Beliebt"
"Popular Tags","Beliebte Schlagwörter"
"Price","Preis"
"Product Name","Artikelname"
"Product SKU","Bestandseinheit des Artikels"
"Product Tag API","Artikel-Schlagwort-Programmierschnittstelle"
"Product Tags","Artikel-Schlagwörter"
"Products","Artikel"
"Products Tagged by Administrators","Von Administratoren verschlagwortete Artikel"
"Products Tagged by Customers","Von Kunden verschlagwortete Artikel"
"Products Tagged with '%s'","Mit '%s' verschlagwortete Artikel"
"Products tagged with '%s'","Mit '%s' verschlagwortete Artikel"
"Rebuild Tag aggregation data","Datenansammlungen im Anhang wiederherstellen"
"Remove","Löschen"
"Remove product tag","Artikel-Schlagwort entfernen"
"Retrieve list of tags by product","Liste von Schlagwörtern nach Artikeln abrufen"
"Retrieve product tag info","Artikel-Schlagwort-Informationen abrufen"
"SKU","Bestandseinheit (SKU)"
"Save Tag","Schlagwort speichern"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Status","Status"
"Store View","Ladenansicht"
"Tag","Tag"
"Tag ""%s"" has already been added to the product.","Schlagwort ""%s"" wurde bereits zum Artikel hinzugefügt."
"Tag ""%s"" has been added to the product.","Schlagwort ""%s"" wurde zum Artikel hinzugefügt."
"Tag ""%s"" has been rejected by administrator.","Schlagwort ""%s"" wurde vom Administrator abgelehnt."
"Tag Aggregation Data","Schlagwort Gruppierungsdaten"
"Tag Name","Schlagwort-Name"
"Tagged Products List","Liste von Artikeln mit Schlagwörtern"
"Tags","Schlagwörter"
"Tags List (All Available)","Schlagwortliste (Alle verfügbar)"
"Tags List Before","Schlagwortliste zuerst"
"Tags:","Schlagwörter:"
"Telephone","Telefon"
"The tag has been deleted.","Das Schlagwort wurde gelöscht."
"There are no tags available.","Es sind keine Schlagwörter verfügbar."
"Unable to find any products tagged with '%s' in the current store","Es konnten keine Artikel mit dem Schlagwort '%s' in diesem Laden gefunden werden."
"Unable to remove tag. Please, try again later.","Schlagwort kann nicht entfernt werden. Bitte versuchen Sie es später noch einmal."
"Unable to save tag(s).","Schlagwörter konnte(n) nicht gespeichert werden."
"Update","Aktualisieren"
"Update product tag","Artikel-Schlagwort aktualisieren"
"Use spaces to separate tags. Use single quotes (') for phrases.","Verwenden Sie Leerzeichen, um Schlagwörter zu trennen. Verwenden Sie Apostrophe (') für Phrasen."
"View All Tags","Alle Schlagwörter ansehen"
"View Customers","Kunden ansehen"
"View Products","Artikel ansehen"
"XML","XML"
"You have not tagged any products yet.","Sie haben noch keinen Artikeln Schlagwörter hinzugefügt."
"ZIP/Post Code","Postleitzahl"
"[STORE VIEW]","[LADENANSICHT]"
