"All Websites","Alle Webseiten"
"Apply Discounts To FPT","Rabatte auf FPT anwenden"
"Apply Tax To FPT","Steuer auf FPT anwenden"
"Display Prices In Emails","Preise in eMails anzeigen"
"Display Prices In Product Lists","Preise in Artikellisten anzeigen"
"Display Prices In Sales Modules","Preise in Verkaufsmodulen anzeigen"
"Display Prices On Product View Page","Preise auf der Artikelansichtseite anzeigen"
"Enable FPT","FPT aktivieren"
"Excluding FPT","Ausschließlich FPT"
"Excluding FPT, FPT description, final price","Ausschließlich FPT, FPT-Beschreibung, Endpreis"
"FPT Tax Configuration","Steuer-Konfiguration für Festpreis-Offerten"
"Fixed Product Tax","Feste Verbrauchssteuer"
"Fixed Product Taxes","Feste Verbrauchssteuern"
"Include FPT In Subtotal","Verbrauchssteuern in Zwischensumme einrechnen"
"Including FPT and FPT description","Einschließlich Verbrauchssteuern und Verbrauchssteuer-Beschreibung"
"Including FPT and FPT description [incl. FPT VAT]","Einschließlich Verbrauchssteuern und Verbrauchssteuer-Beschreibung [inkl. MwSt]"
"Including FPT only","Lediglich einschließlich Verbrauchssteuern"
"Loaded and Displayed with Tax","Geladen und mit Steuer angezeigt"
"Not Taxed","Nicht besteuert"
"Taxed","Besteuert"
"Total","Gesamtbetrag"
"Total Incl. Tax","Gesamtbetrag inkl. Steuer"
"Total excl. tax","Gesamtbetrag exkl. Steuern"
"Total incl. tax","Gesamtbetrag inkl. Mehrwertsteuer"
"Total:","Gesamt:"
